,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label
30206,quoted_status,Avoda,Left,Avoda,Left,mikiros1,omerbarlev,והניצחון יביא גאווה (: https://t.co/Gy2fy0m16V,
12636,free_mentions,Likud,Right,Yesh Atid,Center,dudiamsalem,yairlapid,יאיר לפיד האיץ בנו לקדם את חוק הגיוס. להפתעתו הבאנו את החוק להצבעה והוא נבהל. ככה זה כשמנהיג של מפלגה מתפרנס משנאת חרדים. https://t.co/p9mn1JeQuF,
17817,user_mentions,Avoda,Left,Likud,Right,HaimJelin,Israel_katz,@BenCaspit @gidonsaar @Israel_katz בן בסהכ עוד יום שחור של נבחרת ארגנטינה  כאות הזדהות עם עוטף עזה https://t.co/3PK1sBpEWs,
40993,free_mentions,Likud,Right,Likud,Right,TzipiHotovely,TzipiHotovely,"ראיון רדיופוני עם ח""כ חוטובלי על דבריו של מחט הצנחנים ופרדיה מיו""ר הכנסת לשעבר דב שילנסקי ז""ל http://fb.me/LYp3kqG8",
43714,free_mentions,Likud,Right,Likud,Right,YehudahGlick,IsraeliPM,"מי אמר לאורנה פרץ ""אשמח לשמוע אותך?"" אכן ראש הממשלה בנימין נתניהו!  היא המשיכה להפריע ולהתפרץ לדבריו בחוסר דרך ארץ תוך שהוא מספיד חבר. כן גם ראש הממשלה בן אדם!  חבל שהתקשורת מאדירה התנהגויות של השתלחויות במקום לעודד שיח מכבד https://t.co/m9RcbHBqk4",
8990,free_mentions,Avoda,Left,Avoda,Left,BiranMichal,HavodaParty,"נראה של @Roy_Folkman יש ממש אובססיה למפלגת העבודה- לערכינו ולדמוקרטיה הפנימית שלנו. בדיון על יוקר המחיה הוא הדף את הביקורת על הכשלונות של כחלון בטענה שהכל חלק מהפריימריז של העבודה. אותנו בוחרים 60,000 איש. הפריימריז של פולקמן הוא ללקק את ישבנו של אדם אחד.",
1932,free_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,Likud_Party,מנצלת את הזמן בין ההסתייגויות על חוק ההמלצות שנחקק ביד גסה ומנסה להבין מה קרה לליכוד של בגין https://t.co/UeVLRhJwRG,
35499,free_mentions,Likud,Right,Likud,Right,regev_miri,regev_miri,מירי רגב - הליכוד - ביטחון אישי: http://t.co/Ru0iFTFb4W דרך @YouTube,
6594,free_mentions,Likud,Right,Likud,Right,ayoobkara,IsraeliPM,"בהמשך לדברים שהטיח בי בפגוש את העיתונות עד המדינה, העבריין מני נפתלי (""אתה ערבי"")- אני גאה להיות דרוזי ישראלי, קצין במיל', נכה צה""ל ואח שכול שאוהב ונאמן  לישראל. מני צריך להתבייש בעצמו על הדברים הנלוזים שלו ועל בריחתו מהאולפן. אמשיך להגן על שרה ועל משפחת נתניהו ללא מורא וללא פחד! https://t.co/W38oaNFN41",
28631,user_mentions,Meretz,Left,Likud,Right,Michal_Rozin,netanyahu,@AfifAbuMuch @netanyahu @regev_miri הישג אדיר!! כל הכבוד,
21679,free_mentions,Israel Resilience Party,Center,Likud,Right,hosen2israel,netanyahu,"בתגובה לדברי נתניהו הערב: ""נקים ממשלת תקווה ואחדות ציונית שתחליף את נתניהו""",
26580,user_mentions,Culanu,Right,Culanu,Right,Meravbenari,KahlonMoshe,"תוכנית חדשה לחד הוריות בתמיכת השר @KahlonMoshe, משרדי הרווחה והכלכלה והארגונים החברתיים יוצאת לדרך. סיוע לנשים להיכנס לאקדמיה, להכשרה מקצועית מתאימה, לווי נשים נפגעות אלימות והגמשת קריטריונים לקבלת תמיכה מהמדינה לילדים לנשים עובדות. כל זה ועוד יצאו בימים הקרובים לדרך, חשוב!",
32424,free_mentions,Yamin Hadash,Right,Yamin Hadash,Right,newyamin,naftalibennett,"כזכור, שקד ובנט היו היחידים בקבינט (ב 21.10.18) שהתנגדו לדחיית פינוי חאן אל אחמר, בעוד נתניהו וליברמן הצביעו בעד דחיית הפינוי למועד בלתי ידוע.  אנו קוראים לראש הממשלה לקיים את הבטחתו כבר היום",
12275,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,"בוקר טוב נפתלי בנט, אתה חלק מזה, כבר שש שנים. לא חוזרים על טעות, הפעם מצביעים לימין לא מזוייף.  ישראל צריכה עוצמה יהודית! https://t.co/t02uJYttgC",
47729,free_mentions,Meretz,Left,Likud,Right,zehavagalon,netanyahu,"1/ נתניהו מגיב תמיד באותה צורה לאלימות ולטרור, וזה לנסות לשחד את מי שאחראים להם כדי שיעזבו אותו בשקט ויתנו לו לשרוד עוד כמה שבועות. כשהחמאס יורה רקטות הוא משחד אותם עם מזומן קטארי&gt;&gt;   https://t.co/U4thAAcqIG",
26345,user_mentions,Culanu,Right,Yesh Atid,Center,Meravbenari,KElharrar,"הוא צייצן משובח, רווק מבוקש, הולך עם סנדלי טבע גם בגשמים, שנון, מצחיק והוא לא חבר של פוליטיקאים (להגדרתו) @akivanovick והיום הוא יתארח בערוץ הטלגרם המהולל שלי ושל חברה שלי @KElharrar  אז תבואו יהיה מעניין אבל גם פאן. https://t.co/T0vXW1iDna",
14486,free_mentions,Avoda,Left,Likud,Right,ErelMargalit,netanyahu,"ההסתה היא לא נגדי, אלא נגד מחנה שלם, ויש לה אבא אחד: נתניהו. לא נירתע. https://t.co/skiU2NGoTW",
22446,free_mentions,Avoda,Left,Likud,Right,Isaac_Herzog,IsraeliPM,הסגידה ומחיאות הכפיים לנאומי נתניהו בעולם התנפצו הערב בהחלטה שהופכת את מדינת ישראל למוקצית והישראלים למוקצים. https://t.co/d15R4rDkQQ,
12790,user_mentions,Likud,Right,Avoda,Left,dudiamsalem,HilikBar,@HilikBar מזל טוב חיליק ואדית. נחת ואושר גדול.,
11757,free_mentions,Likud,Right,Likud,Right,drAnatBerko,oren_haz,"עם אביחיל חזן, נכה צה""ל ממלחמת השחרור! באירוע המכובד והליכודי של השר @Tzachi_Hanegbi https://t.co/ZoHRPbKoBQ",
48235,free_mentions,Likud,Right,Likud,Right,zoharm7,oren_haz,"@HilikBar במקומך לא הייתי מזלזל בטענה שלי, במקום לעשות קריירה על הגב של אורן חזן אתה מוזמן לנסות להתעמת איתי עניינית.",
17578,user_mentions,Gesher,Center,Gesher,Center,HaggaiReznik,Orly_levy,"@Orly_levy ליאור מלך , מלך !",
24889,user_mentions,Likud,Right,Yesh Atid,Center,Likud_Party,YeshAtidParty,@YeshAtidParty @netanyahu Delete your account,
42210,user_mentions,Yesh Atid,Center,Israel Resilience Party,Center,yairlapid,gantzbe,"הראיון עם @gantzbe הערב הוא תזכורת לזה שיכול להיות לנו ראש ממשלה חזק, ממלכתי וממוקד מטרה, שלא מפזר רעל ולא מפלג את העם.",
35226,free_mentions,Likud,Right,Likud,Right,regev_miri,regev_miri,. השרה רגב מארחת באולפן את הזמר דורון מירן ואת הקומיקאי דניאל סויסה https://t.co/JcEcsOjUVx,
12376,free_mentions,Ichud Hayamin,Right,Shas,Right,drmichaelbenari,davidazuolay,"דוד אזולאי, חבר אהוב. אחד מאנשי הציבור המסורים הישרים והחכמים שפגשתי בכנסת. כל כולו מסור לשליחות הציבורית שלו. מתפלל לרפואתו השלמה. https://t.co/5q7xLuiVaA",
14166,user_mentions,Avoda,Left,Likud,Right,Eranhermoni,netanyahu,"בינתיים במשמרת של @netanyahu , האיראנים הגיעו לגדר.   ביטחון לא עושים בהצהרות ריקות.   עדיף שראש הממשלה היה מדבר פחות, ועושה הרבה יותר. https://t.co/Wzq2rdEhdw",
2974,user_mentions,Avoda,Left,Avoda,Left,amirperetz,MeravMichaeli,@GiladDekel @HavodaParty @Syechimovich @yayafink @StavShaffir @ishmuli @MeravMichaeli @cabel_eitan @omerbarlev @micZerno תודה גלעד!,
6498,user_mentions,Hadash Taal,Left,Meretz,Left,AyOdeh,tamarzandberg,@saruriariel @tamarzandberg אז אתה מתחייב שלא יהרסו את אום אלחיראן? כי גם אם זה היום וגם אם עוד חודש זאת אותה הגזענות,
1749,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,giladerdan1,"סיפוק גדול. מאבק ממושך שלנו שהוביל לשינוי תפיסה אמיתי ביחס הרשויות לנשים קורבנות, יסייע מאוד לפוגג מתחים וחשדנות ביחס לרשויות ולפנות לגורמי השיקום והסיוע. מודה ל@giladerdan1 על הרגישות והנכונות לתקן, ולכלל השותפות בקואלייצית הארגונים למאבק בזנות. צעד צעד, מתקדמים. https://t.co/WKuVleIs91",
18042,user_mentions,Avoda,Left,Likud,Right,HaimJelin,YehudahGlick,@YehudahGlick @chaimlevinson ביטוח לא מכיר בנפגעי טרור.תאונות דרכים ורעידות אדמה גם בארץ לא מוכרים כפעילות איבה.השוואה לא נכונה ולא רלוונטית,
37509,free_mentions,Avoda,Left,Likud,Right,StavShaffir,netanyahu,"13 שנים בשלטון, דובריו מדקלמים סיסמאות על אהדה עצומה - והנה מסתבר שמישהו שילם מיליונים כדי להכניס את ישראל למציאות מדומה שבה ביבי הוא מנהיג בלתי מעורער וכל היתר - בוגדים. קראו טוב את החשיפה הזו. מדובר בחבלה אנושה ומכוערת בדמוקרטיה וניסיון שפל להטות בחירות. יש לפתוח בחקירה, עכשיו. https://t.co/IFGyyN0410",
33946,free_mentions,Avoda,Left,Likud,Right,omerbarlev,netanyahu,קדנציה שלמה אני אומר שאין לביבי שום יוזמה יצירתית. והנה עוד הוכחה.. http://t.co/4BMF06Dxwj,
29408,free_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,לעסקאות עיתון-שלטון המושחתות שרקח נתניהו שותפים גם עשרות עיתונאים שאין להם אומץ להסתכל על הסירחון מבית ולעשות חשבון נפש. https://t.co/2bWVPkeZxi,
335,user_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,regev_miri,@guy_glick @regev_miri מחכה לפנייה רשמית מאחד הנוסעים..,
11237,free_mentions,Likud,Right,Avoda,Left,davidbitan,HavodaParty,@YoavKisch אין צורך בעזרתך במשך חודשים סירבת לשינויים משיקולי אגו. הקואליציה תעשה את העבודה במקומך,
43049,free_mentions,Likud,Right,Zehut,Right,YehudahGlick,moshefeiglin,התרסקויות: העבודה מפלגות ערביות מפלגה ציונית דתית סקטוריאלית  זרי פרחים: 1. שהאיחוד ישלחו זר פרחים לנתניהו שכפה עליהם לשבת עם עוצמה ונתן להם מתנה ברשימת הליכוד אחרת גם מה שיש להם לא היה. 2. כחלון חייב לשלוח לפייגלין שהציל אותו בשבוע האחרון כשיצר לו אוייב https://t.co/eZAiINCENv,
34298,free_mentions,Likud,Right,Avoda,Left,oren_haz,ishmuli,@DorSahar @NRozentzweig זה לא פלט ההצבעה! וכן זה החוק שאיציק שמולי הגיש,
797,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,בועידת ׳הארץ׳: המכסימום שנתניהו יכול להציע לא מגיע למינימום שעבאס יכול לקבל כדי לממש את חזון שתי המדינות.ואין בממשלה אף שר שתומך במדינה פלס.,
4877,free_mentions,Israel Betenu,Right,Israel Betenu,Right,AvigdorLiberman,Beytenu,"אמרתי היום בגלי צה""ל, שהצעת החוק שהגישה ""ישראל ביתנו"", לפיה כל אזרח המגיע לגיל 18 חייב להתגייס לצבא או לשירות... http://t.co/YeKCQL9B",
39050,free_mentions,Avoda,Left,Likud,Right,swid4,netanyahu,"24 שעות עברו מאז שנחשף החשד המזעזע לרצח של אישה חפה מפשע, אם לתשעה, בידי נערים יהודים, ונתניהו עוד לא מצא זמן לומר מילת גינוי אחת. @netanyahu אז אמנם לא מדובר בשימוע שלך וכנראה גם תרגיז את הבייס הקדוש שלך, ובכ""ז יש לך אחריות ציבורית להתנער מטרור יהודי ולגבות את השב""כ!",
43840,quoted_status,Likud,Right,Ichud Hayamin,Right,YehudahGlick,bezalelsm,"מצטרף בכל לבי לבקשתו הצודקת של ידידי וריעי @bezalelsm  אין כל ספק התנהלותו המדהימה של ארי הי""ד עומדת בכל קריטריון לקבלת צל""ש! ראוי לכל הערכה  פונה לרמטכל ולשר הביטחון @AvigdorLiberman לאמץ את ההצעה https://t.co/xdNynA4Ekg",
43265,user_mentions,Likud,Right,Hadash Taal,Left,YehudahGlick,Ahmad_tibi,@YEnglender @Ahmad_tibi באמת אין הבדל לדעתך בין מנהיג מדינה בשיחות מדיניות עם האוייב בניסיון להפוך כל אבן כדי להגיע לשלום לבין יועץ אישי של האוייב עצמו שמייעץ לו איך לפעול נגד המדינה ???,
18854,user_mentions,Avoda,Left,Avoda,Left,HassonYoel,swid4,"נפרדים מגיבור יהודי וישראלי נתן שרנסקי שמסיים את תפקידו כיו""ר הסוכנות לאחר 9 שנים של עשייה אמיתית.ברכות למחליפו @HerzogMK האיש הנכון במקום הנכון  @swid4 https://t.co/TbnRFbvXgo",
5822,user_mentions,Avoda,Left,Avoda,Left,Ayeletnnv,cabel_eitan,תודה רבה @talschneider 🙏  *גם בשם @cabel_eitan  @globesnews https://t.co/CLioJ1mDhy,
41095,free_mentions,Kadima,Left,Likud,Right,Tzipi_Livni,IsraeliPM,"כישלון בביטחון. יציאת ארה״ב מסוריה, השארת המגרש לאיראן בהמלצת ארדואן, רוסיה מזמינה אליה את החמאס וחוסר אונים במועצת הביטחון מול חיזבאללה. נתניהו נכשל. ביטחון זה לא נאומים וסרטונים. האלטרנטיבה, גם בנושא הבטחוני-מדיני, היא אנחנו. https://t.co/3Ei0V9k7Js",
20528,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,Syechimovich,"I added a video to a @YouTube playlist http://t.co/UOA2aoXo שלי יחימוביץ': ""מתנגדת לשינוי שיטת הממשל""",
44796,free_mentions,Yesh Atid,Center,Likud,Right,YeshAtidParty,netanyahu,"ח""כ יאיר לפיד @LapidAtid לאולפן @ynet: אם ייחתם הסכם עם איראן - נתניהו צריך להתפטר"". http://t.co/zww68c5Nq8",
5743,free_mentions,Avoda,Left,Likud,Right,Ayeletnnv,giladerdan1,"אוי ארדן ארדן המיושן, אתם מזמן המחנה הלאומני לא הלאומי ואף אחד במדינת ישראל לא צריך להגדיר את עצמו לפני הלאומימטר שלכם. תנוח. @giladerdan1 https://t.co/SwLKZykpq2",
23531,free_mentions,Likud,Right,Likud,Right,Israel_katz,netanyahu,"במסגרת תפקידי כשר לענייני מודיעין, זומנתי לדיון אצל רוה״מ בנימין נתניהו עם גורמי מודיעין בכירים ולכן נאלצתי להודיע למארגנים על ביטול השתתפותי המתוכננת היום בכנס לשכת עורכי הדין באילת. בניגוד לפרסומים, לא היה לכך קשר לאירועים בדרום.",
17975,user_mentions,Avoda,Left,Likud,Right,HaimJelin,davidbitan,בוקר טוב ישראל .טיול אופניים מול עזה .רואים את עבודות הקמת המכשול .@davidbitan אין פחדנים בעוטף .שבת שלום ! https://t.co/fvjL3ZESsY,
17362,free_mentions,Likud,Right,Yamin Hadash,Right,GilaGamliel,Ayelet__Shaked,חברים יקרים היום חגיגות סוף שנה. אל תשתו אלכוהול מזויף ואל תצביעו לבנט ושקד. חיקויים מאכזבים. המקור תמיד עדיף.,
30185,free_mentions,Avoda,Left,Avoda,Left,mikiros1,mikiros1,"האתר החדש של מיקי רוזנטל: ""השחיתות כאן נמצאת בכל מקום"" - וואלה!  https://t.co/f2hOVRcCVQ",
1608,free_mentions,Yesh Atid,Center,Meretz,Left,aliza_lavie,Michal_Rozin,"מוטטנו את מסכת השקרים! נמאס לנו מהבטחות ללא כיסוי ומרעש הדיבורים חסרי התכלית. אלימות נגד נשים הוא נושא שכל שרי הממשלה לא רוצים לטפל בו, ובורחים מאחריות. מחר אני וחברותיי Michal Rozin מיכל רוזין ميخال روزين عايدة... https://t.co/zLkMY6Xo4q",
31693,free_mentions,Yamin Hadash,Right,Likud,Right,naftalibennett,giladerdan1,"&gt;&gt;ונרחיק אנשים נפלאים מהשירות הציבורי.  אינני מכיר את צ׳יקו אדרי, נדמה לי שמעולם לא פגשתי אותו ואין לי כאן שום אינטרס אישי מעבר לכך שייבחר האדם המתאים ביותר לתפקיד זה, ולכלל התפקידים הציבוריים.  החלטת ועדת גולדברג היא המלצה בלבד. אם יחליט השר ארדן להביא את אדרי לממשלה, נתמוך בו.",
29389,user_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,@malic56 @PninaKatz @netanyahu https://t.co/QuOtYJDpLZ,
25804,user_mentions,Culanu,Right,Avoda,Left,Meravbenari,ishmuli,"מזל טוב חבר שלי יקר ואהוב @ishmuli ליום הולדך שחל היום. מאחלת לך שזו באמת תהיה השנה שלך, נראה  לי שכך הולך להיות בכל מקרה.. אוהבת אותך ומאחלת לך שנה מהממת. מזל טוב!❤🎁🎊🎈🤩💋🎉🍭💙🎂",
23571,free_mentions,Likud,Right,Likud,Right,Israel_katz,IsraeliPM,"לשרה ובנימין נתניהו @netanyahu ברכות על הנחישות והזכיה במשפט. אכן, הצדק יצא לאור",
46316,free_mentions,Avoda,Left,Likud,Right,YossiYonah,netanyahu,הדרום בוער אך ממשלת נתניהו עוסקת בכרסום האופי הדמוקרטי שלנו https://t.co/naTNXUWaxe,
21779,free_mentions,Yesh Atid,Center,Likud,Right,idanroll,netanyahu,"תעודת ההכשר שנתנו אתמול נתניהו ואוחנה לזוהמה ההומופובית שמפיץ קפטן ג'ורג' בטוויטר, לא צריכה להפתיע איש. קדנציה שלמה הקואליציה של נתניהו דרסה כל יוזמה לקידום זכויות הקהילה, ואוחנה הנהן.",
